pipeline,model,n_features,fit_time_s,accuracy,f1_macro,f1_weighted,tag,cleaner,stage,ngram_lo,ngram_hi,default_ngram,max_features,default_max_features,min_df,default_min_df,sublinear_tf,default_sublinear_tf,cleaner_label,keep_hashtags,keep_punct,keep_digits,drop_hashtags,drop_punct,drop_digits,remove_stopwords,lemmatize,expand_contractions,keep_question_mark,keep_hashtag_word,vectorizer_owner,cv_f1_mean,cv_f1_std,train_f1,val_f1,overfit_gap,shift_gap
C,LinearSVC_C0.5_noweight,100000.0,5.34,0.978,0.977932,0.978022,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,LinearSVC_C19,100000.0,18.85,0.975,0.974058,0.975018,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,LogReg_C10_balanced,100000.0,15.64,0.978,0.977334,0.978015,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,LogReg_C10,100000.0,16.69,0.975,0.974647,0.975028,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_hard,100000.0,17.13,0.978,0.977347,0.978008,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_soft,100000.0,18.36,0.976,0.975841,0.976017,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Voting_hard_noweight,100000.0,18.24,0.978,0.977936,0.978012,ablation_model,,model_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A_LR_C10,70000.0,13.31,0.979,0.978832,0.97902,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A_SVC_C19,70000.0,14.3,0.98,0.979517,0.980025,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,B_LR_C10,70000.0,12.71,0.981,0.980943,0.981034,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,B_SVC_C19,70000.0,12.63,0.982,0.981529,0.982009,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C_LR_C10,100000.0,15.8,0.978,0.977334,0.978015,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,C_SVC_C19,100000.0,21.07,0.975,0.973251,0.975045,fairness_balanced,,fairness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP=A,LinearSVC_C19,70000.0,13.24,0.981,0.980677,0.981016,cross_pp_x_vec,A,cross,,,,,,,,,,,,,,,,,,,,,,A,,,,,,
PP=A,LinearSVC_C19,70000.0,13.08,0.981,0.980677,0.981016,cross_pp_x_vec,A,cross,,,,,,,,,,,,,,,,,,,,,,B,,,,,,
PP=A,LinearSVC_C19,100000.0,31.87,0.986,0.985737,0.986023,cross_pp_x_vec,A,cross,,,,,,,,,,,,,,,,,,,,,,C,,,,,,
PP=B,LinearSVC_C19,70000.0,13.24,0.983,0.983279,0.983023,cross_pp_x_vec,B,cross,,,,,,,,,,,,,,,,,,,,,,A,,,,,,
PP=B,LinearSVC_C19,70000.0,13.04,0.983,0.983279,0.983023,cross_pp_x_vec,B,cross,,,,,,,,,,,,,,,,,,,,,,B,,,,,,
PP=B,LinearSVC_C19,100000.0,30.88,0.984,0.98334,0.984015,cross_pp_x_vec,B,cross,,,,,,,,,,,,,,,,,,,,,,C,,,,,,
PP=C,Voting_svc_lr,70000.0,13.31,0.978,0.977131,0.978014,cross_pp_x_vec,C,cross,,,,,,,,,,,,,,,,,,,,,,A,,,,,,
PP=C,Voting_svc_lr,70000.0,13.13,0.978,0.977131,0.978014,cross_pp_x_vec,C,cross,,,,,,,,,,,,,,,,,,,,,,B,,,,,,
PP=C,Voting_svc_lr,100000.0,17.06,0.978,0.977347,0.978008,cross_pp_x_vec,C,cross,,,,,,,,,,,,,,,,,,,,,,C,,,,,,
A,ExtraTrees,,,,,,,,cv,,,,,,,,,,,,,,,,,,,,,,,0.9205627955256241,0.0013625257082861169,0.9780933111933764,0.984531,-0.006437688806623654,0.0639682044743759
B,LinearSVC_C19,,,,,,,,cv,,,,,,,,,,,,,,,,,,,,,,,0.9006185456981827,0.0015780893188371693,0.9762986352228049,0.983279,-0.006980364777195103,0.08266045430181734
C,Voting_svc_lr,,,,,,,,cv,,,,,,,,,,,,,,,,,,,,,,,0.8904382390367799,0.0015154344407586405,0.9697152720827181,0.977347,-0.007631727917281839,0.08690876096322009
C,LinearSVC_C0.5,,,,,,,,cv,,,,,,,,,,,,,,,,,,,,,,,0.8911931141140681,0.0016382571118716519,0.9659840075624504,0.978239,-0.012254992437549572,0.08704588588593187
